Posting Date,Order No.,Work center Number,Department,Item,Time,Quantity,Sales order
4/30/2023,POR-11043366,101,Machine Carpentry,Panal,0.84,38,SSO-12149005
4/30/2023,POR-11039305,103,Machine Carpentry,Panal,1,38,SSO-12149005
4/30/2023,POR-11039305,106,Machine Carpentry,Panal,10,38,SSO-12149005
4/30/2023,POR-11039305,112,Assembly,Panal,50,38,SSO-12149005
3/31/2023,POR-11039305,205,Painting ,Panal,0,25,SSO-12149005
3/31/2023,POR-11039305,202,Painting ,Panal,0,25,SSO-12149005
3/31/2023,POR-11039305,203,Painting ,Panal,0,25,SSO-12149005
3/31/2023,POR-11042902,202,Painting ,Panal,0,25,SSO-12149005
3/31/2023,POR-11042465,203,Painting ,Panal,0,25,SSO-12149005
3/31/2023,POR-11042838,202,Painting ,Panal,0,25,SSO-12149005
3/31/2023,POR-11043403,201,Painting ,Panal,0,25,SSO-12149005
3/31/2023,POR-11043404,200,Painting ,Panal,25,25,SSO-12149005
3/31/2023,POR-11041752,112,Assembly,Panal,0,25,SSO-12149005
3/31/2023,POR-11042535,103,Machine Carpentry,Panal,0,25,SSO-12149005
3/31/2023,POR-11043400,106,Machine Carpentry,Panal,0,25,SSO-12149005
3/31/2023,POR-11043399,101,Machine Carpentry,Panal,0,25,SSO-12149005
3/31/2023,POR-11043398,100,Machine Carpentry,Panal,20,25,SSO-12149005
4/27/2023,POR-11043397,600,Control & Packing,Panal,0,25,SSO-12149005
3/26/2023,POR-11043396,600,Control & Packing,Door,0,10,SSO-12149005
4/27/2023,POR-11043395,100,Machine Carpentry,Door,1.65,10,SSO-12149005
4/27/2023,POR-11042823,101,Machine Carpentry,Door,1.79,10,SSO-12149005
4/27/2023,POR-11043579,102,Machine Carpentry,Door,1.43,10,SSO-12149005
4/27/2023,POR-11043579,103,Machine Carpentry,Door,6.43,10,SSO-12149005
4/27/2023,POR-11043579,106,Machine Carpentry,Door,25,10,SSO-12149005
4/27/2023,POR-11043581,107,Assembly,Door,151.08,10,SSO-12149005
3/26/2023,POR-11043581,600,Control & Packing,Door,0,21,SSO-12149005
